Genotype	Pop	Sex	Sample	TGA.Plate	TGA	TGA.Prot	Protein	TGA.CanS
FFD14	FFD	M	B4	11212017-3	1.693	0.21594387755102	7.84	1.37543871051605
FFD14	FFD	M	C4	11212017-3	1.336	0.161939393939394	8.25	1.03146110789423
FFD14	FFD	M	D4	11212017-3	1.779	0.204953917050691	8.68	1.30543896210631
FFD14	FFD	M	E4	11212017-3	2.02	0.234610917537747	8.61	1.49433705438055
FFD14	FFD	M	F4	11212017-3	1.857	0.19485834207765	9.53	1.24113593680032
FFD4	FFD	M	A3	11212017-3	1.826	0.236835278858625	7.71	1.50850496088296
FFD4	FFD	M	B3	11212017-3	1.618	0.190801886792453	8.48	1.21529864199015
FFD4	FFD	M	C3	11212017-3	1.552	0.170549450549451	9.1	1.08630223279905
FFD4	FFD	M	D3	11212017-3	1.313	0.158574879227053	8.28	1.01003107787932
FFD4	FFD	M	E3	11212017-3	1.166	0.208960573476703	5.58	1.33095906673059
FFD4	FFD	M	F3	11212017-3	1.241	0.31025	4	1.97611464968153
PC114	PC	M	A3	11212017-3	1.227	0.146071428571429	8.4	0.930391264786172
PC114	PC	M	B3	11212017-3	1.091	0.132725060827251	8.22	0.845382553039815
PC114	PC	M	C3	11212017-3	1.086	0.119078947368421	9.12	0.758464632919879
PC114	PC	M	D3	11212017-3	1.112	0.116439790575916	9.55	0.741654717044051
PC114	PC	M	E3	11212017-3	0.784	0.19454094292804	4.03	1.23911428616586
PC114	PC	M	F3	11212017-3	0.765	0.0836980306345733	9.14	0.533108475379448
PC189	PC	M	A3	11212017-3	1.411	0.22046875	6.4	1.40425955414013
PC189	PC	M	B3	11212017-3	1.549	0.218169014084507	7.1	1.38961155467839
PC189	PC	M	C3	11212017-3	1.52	0.220289855072464	6.9	1.40312009600296
PC189	PC	M	D3	11212017-3	1.415	0.148947368421053	9.5	0.948709353000338
PC189	PC	M	E3	11212017-3	1.15	0.166666666666667	6.9	1.06157112526539
PC189	PC	M	F3	11212017-3	1.24	0.130526315789474	9.5	0.831377807576268
FFD2	FFD	M	A3	11222017-1	2.068	0.212320328542094	9.74	0.829376283367555
FFD2	FFD	M	B3	11222017-1	2.455	0.211637931034483	11.6	0.826710668103449
FFD2	FFD	M	C3	11222017-1	1.715	0.129924242424242	13.2	0.507516571969695
FFD2	FFD	M	D3	11222017-1	1.248	0.106666666666667	11.7	0.416666666666668
FFD2	FFD	M	E3	11222017-1	1.519	0.138594890510949	10.96	0.541386291058395
FFD2	FFD	M	F3	11222017-1	0.887	0.0821296296296296	10.8	0.320818865740741
PC113	PC	M	A2	11222017-1	1.467	0.215735294117647	6.8	0.842715992647059
PC113	PC	M	B2	11222017-1	1.533	0.211740331491713	7.24	0.827110669889504
PC113	PC	M	C2	11222017-1	1.767	0.277394034536892	6.37	1.08357044740973
PC113	PC	M	D2	11222017-1	1.747	0.307029876977153	5.69	1.199335456942
PC113	PC	M	E2	11222017-1	1.451	0.241029900332226	6.02	0.941523048172758
PC113	PC	M	F2	11222017-1	1.128	0.173538461538462	6.5	0.677884615384617
PC85	PC	M	A3	11222017-1	2.846	0.325629290617849	8.74	1.27198941647597
PC85	PC	M	B3	11222017-1	1.943	0.255657894736842	7.6	0.998663651315789
PC85	PC	M	C3	11222017-1	1.701	0.218076923076923	7.8	0.85186298076923
PC85	PC	M	D3	11222017-1	1.78	0.209411764705882	8.5	0.818014705882352
PC85	PC	M	E3	11222017-1	1.82	0.197183098591549	9.23	0.770246478873238
PC85	PC	M	F3	11222017-1	1.628	0.217066666666667	7.5	0.847916666666668
FFD4	FFD	F	A3	11222017-2	3.527	0.280812101910828	12.56	1.11300872735168
FFD4	FFD	F	B3	11222017-2	2.938	0.274067164179104	10.72	1.08627492738448
FFD4	FFD	F	C3	11222017-2	2.693	0.221646090534979	12.15	0.878502142429564
FFD4	FFD	F	D3	11222017-2	2.735	0.182211858760826	15.01	0.722203165916869
FFD4	FFD	F	E3	11222017-2	2.79	0.232693911592994	11.99	0.922290573099461
FFD4	FFD	F	F3	11222017-2	2.258	0.17236641221374	13.1	0.683180389273642
PC113	PC	F	A3	11222017-2	2.742	0.284145077720207	9.65	1.12621909520494
PC113	PC	F	B3	11222017-2	2.395	0.237128712871287	10.1	0.93986806528453
PC113	PC	F	C3	11222017-2	3.045	0.225555555555556	13.5	0.893997445721585
PC113	PC	F	D3	11222017-2	2.466	0.208983050847458	11.8	0.828311735423932
PC113	PC	F	E3	11222017-2	2.014	0.223777777777778	9	0.886951160435109
PC113	PC	F	F3	11222017-2	1.787	0.185758835758836	9.62	0.736261735072675
PC189	PC	F	A3	11222017-2	1.814	0.147479674796748	12.3	0.584540922698169
PC189	PC	F	B3	11222017-2	1.614	0.179333333333333	9	0.710794028273218
PC189	PC	F	C3	11222017-2	1.616	0.145585585585586	11.1	0.577033632919485
PC189	PC	F	D3	11222017-2	2.085	0.191284403669725	10.9	0.758162519499504
PC189	PC	F	E3	11222017-2	2.485	0.227981651376147	10.9	0.903613362568954
PC189	PC	F	F3	11222017-2	1.66	0.150226244343891	11.05	0.595427048529096
FFD10	FFD	M	A3	11302017-1	2.464	0.301960784313725	8.16	1.73540680640072
FFD10	FFD	M	B3	11302017-1	2.95	0.5	5.9	2.8735632183908
FFD10	FFD	M	C3	11302017-1	1.857	0.228976572133169	8.11	1.31595731111017
FFD10	FFD	M	D3	11302017-1	1.831	0.239346405228758	7.65	1.37555405303884
FFD10	FFD	M	E3	11302017-1	1.309	0.176653171390013	7.41	1.01524811143686
FFD10	FFD	M	F3	11302017-1	1.812	0.226783479349186	7.99	1.30335332959302
FFD16	FFD	M	A3	11302017-1	1.665	0.190068493150685	8.76	1.09234766178555
FFD16	FFD	M	B3	11302017-1	1.809	0.19203821656051	9.42	1.1036679112673
FFD16	FFD	M	C3	11302017-1	1.392	0.17620253164557	7.9	1.0126582278481
FFD16	FFD	M	D3	11302017-1	1.462	0.160659340659341	9.1	0.923329544019201
FFD16	FFD	M	E3	11302017-1	1.487	0.154573804573805	9.62	0.888355198700029
FFD16	FFD	M	F3	11302017-1	1.302	0.146292134831461	8.9	0.840759395583109
PC136	PC	M	A3	11302017-1	1.099	0.125743707093822	8.74	0.722664983297828
PC136	PC	M	B3	11302017-1	1.209	0.159078947368421	7.6	0.914246823956443
PC136	PC	M	C3	11302017-1	1.003	0.128589743589744	7.8	0.739021514883586
PC136	PC	M	D3	11302017-1	1.163	0.136823529411765	8.5	0.786342123056121
PC136	PC	M	E3	11302017-1	1.022	0.110725893824485	9.23	0.636355711634971
PC136	PC	M	F3	11302017-1	0.676	0.0901333333333333	7.5	0.518007662835249
PC155	PC	M	A1	11302017-1	0.999	0.178392857142857	5.6	1.02524630541872
PC155	PC	M	B1	11302017-1	1.31	0.2	6.55	1.14942528735632
PC155	PC	M	C1	11302017-1	1.173	0.191666666666667	6.12	1.10153256704981
PC155	PC	M	D1	11302017-1	1.105	0.174841772151899	6.32	1.00483777098793
PC155	PC	M	E1	11302017-1	1.267	0.209075907590759	6.06	1.20158567580896
PC155	PC	M	F1	11302017-1	1.368	0.242984014209591	5.63	1.39645985177926
FFD10	FFD	F	A3	11302017-2	2.907	0.274245283018868	10.6	1.33778186838472
FFD10	FFD	F	B3	11302017-2	2.269	0.184471544715447	12.3	0.899861193733888
FFD10	FFD	F	C3	11302017-2	1.732	0.148034188034188	11.7	0.722117990410673
FFD10	FFD	F	D3	11302017-2	2.4	0.247422680412371	9.7	1.20693990445059
FFD10	FFD	F	E3	11302017-2	3.085	0.339010989010989	9.1	1.65371214151702
FFD10	FFD	F	F3	11302017-2	3.11	0.352208380520951	8.83	1.71808966107781
FFD19	FFD	F	A3	11302017-3	2.483	0.214051724137931	11.6	1.04415475189235
FFD19	FFD	F	B3	11302017-3	2.457	0.21781914893617	11.28	1.06253243383498
FFD19	FFD	F	C3	11302017-3	2.567	0.237685185185185	10.8	1.15943992773261
FFD19	FFD	F	D3	11302017-3	2.525	0.18928035982009	13.34	0.923318828390683
FFD19	FFD	F	E3	11302017-3	1.743	0.149229452054795	11.68	0.727948546608756
FFD19	FFD	F	F3	11302017-3	1.743	0.138333333333333	12.6	0.674796747967478
FFD2	FFD	F	A2	11302017-3	1.792	0.162613430127042	11.02	0.793236244522156
FFD2	FFD	F	B2	11302017-3	2.851	0.274134615384615	10.4	1.33724202626641
FFD2	FFD	F	C2	11302017-3	2.065	0.184375	11.2	0.899390243902439
FFD2	FFD	F	D2	11302017-3	2.164	0.183389830508475	11.8	0.894584539065732
FFD2	FFD	F	E2	11302017-3	1.972	0.186037735849057	10.6	0.907501150483205
FFD2	FFD	F	F2	11302017-3	2.135	0.179411764705882	11.9	0.875179340028693
PC155	PC	F	A1	11302017-3	2.4	0.254237288135593	9.44	1.24018189334436
PC155	PC	F	B1	11302017-3	2.386	0.276157407407407	8.64	1.34710930442638
PC155	PC	F	C1	11302017-3	2.656	0.360869565217391	7.36	1.76033934252386
PC155	PC	F	D1	11302017-3	1.87	0.233167082294264	8.02	1.13740040143543
PC155	PC	F	E1	11302017-3	2.428	0.263913043478261	9.2	1.28738069989396
PC155	PC	F	F1	11302017-3	2.572	0.309134615384615	8.32	1.50797373358349
PC167	PC	F	A2	11302017-3	2.187	0.164312546957175	13.31	0.801524619303293
PC167	PC	F	B2	11302017-3	2.482	0.221805183199285	11.19	1.08197650341115
PC167	PC	F	C2	11302017-3	2.169	0.186340206185567	11.64	0.908976615539351
PC167	PC	F	D2	11302017-3	2.375	0.213579136690647	11.12	1.04184944727145
PC167	PC	F	E2	11302017-3	2.536	0.181142857142857	14	0.88362369337979
PC167	PC	F	F2	11302017-3	2.471	0.173160476524177	14.27	0.844685251337449
FFD10	FFD	F	A1	11302017-4	2.767	0.213338473400154	12.97	1.06669236700077
FFD10	FFD	F	B1	11302017-4	2.887	0.216904583020285	13.31	1.08452291510142
FFD10	FFD	F	C1	11302017-4	2.509	0.232314814814815	10.8	1.16157407407407
FFD10	FFD	F	D1	11302017-4	3.253	0.237445255474453	13.7	1.18722627737226
FFD10	FFD	F	E1	11302017-4	2.562	0.169444444444444	15.12	0.84722222222222
FFD10	FFD	F	F1	11302017-4	2.312	0.200346620450607	11.54	1.00173310225303
FFD4	FFD	F	A2	11302017-4	2.209	0.181065573770492	12.2	0.90532786885246
FFD4	FFD	F	B2	11302017-4	3.84	0.317355371900826	12.1	1.58677685950413
FFD4	FFD	F	C2	11302017-4	1	0.0943396226415094	10.6	0.471698113207547
FFD4	FFD	F	D2	11302017-4	2.489	0.183014705882353	13.6	0.915073529411765
FFD4	FFD	F	E2	11302017-4	2.449	0.186946564885496	13.1	0.93473282442748
FFD4	FFD	F	F2	11302017-4	2.267	0.182822580645161	12.4	0.914112903225805
PC136	PC	F	A1	11302017-4	2.336	0.253913043478261	9.2	1.2695652173913
PC136	PC	F	B1	11302017-4	2.555	0.255244755244755	10.01	1.27622377622377
PC136	PC	F	C1	11302017-4	2.625	0.251919385796545	10.42	1.25959692898272
PC136	PC	F	D1	11302017-4	1.455	0.158152173913043	9.2	0.790760869565215
PC136	PC	F	E1	11302017-4	1.418	0.179493670886076	7.9	0.89746835443038
PC136	PC	F	F1	11302017-4	1.13	0.120212765957447	9.4	0.601063829787235
PC167	PC	F	A1	11302017-4	3.079	0.277387387387387	11.1	1.38693693693693
PC167	PC	F	B1	11302017-4	2.131	0.195504587155963	10.9	0.977522935779815
PC167	PC	F	C1	11302017-4	1.835	0.188205128205128	9.75	0.94102564102564
PC167	PC	F	D1	11302017-4	1.843	0.189609053497942	9.72	0.94804526748971
PC167	PC	F	E1	11302017-4	2.318	0.208828828828829	11.1	1.04414414414414
PC167	PC	F	F1	11302017-4	1.544	0.140875912408759	10.96	0.704379562043795
FFD19	FFD	M	A1	12072017-1	2.214	0.5535	4	3.14488636363636
FFD19	FFD	M	B1	12072017-1	1.76	0.366666666666667	4.8	2.08333333333334
FFD19	FFD	M	C1	12072017-1	1.388	0.207164179104478	6.7	1.17706919945726
FFD19	FFD	M	D1	12072017-1	1.695	0.232191780821918	7.3	1.31927148194272
FFD19	FFD	M	E1	12072017-1	1.525	0.211805555555556	7.2	1.20344065656566
FFD19	FFD	M	F1	12072017-1	1.375	0.190972222222222	7.2	1.08506944444444
FFD29	FFD	M	A1	12072017-1	2.447	0.252268041237113	9.7	1.43334114339269
FFD29	FFD	M	B1	12072017-1	2.776	0.298494623655914	9.3	1.69599217986315
FFD29	FFD	M	C1	12072017-1	2.041	0.213717277486911	9.55	1.21430271299381
FFD29	FFD	M	D1	12072017-1	2.559	0.261122448979592	9.8	1.48365027829314
FFD29	FFD	M	E1	12072017-1	2.272	0.32	7.1	1.81818181818182
FFD29	FFD	M	F1	12072017-1	2.103	0.204174757281553	10.3	1.16008384819064
PC114	PC	M	A2	12072017-1	2.483	0.32887417218543	7.55	1.86860325105358
PC114	PC	M	B2	12072017-1	2.21	0.270501835985312	8.17	1.53694224991655
PC114	PC	M	C2	12072017-1	2.281	0.277156743620899	8.23	1.57475422511874
PC114	PC	M	D2	12072017-1	1.863	0.228029375764994	8.17	1.29562145321019
PC114	PC	M	E2	12072017-1	2.118	0.286216216216216	7.4	1.6262285012285
PC114	PC	M	F2	12072017-1	2.145	0.246551724137931	8.7	1.40086206896552
PC85	PC	M	A2	12072017-1	2.511	0.34875	7.2	1.98153409090909
PC85	PC	M	B2	12072017-1	2.1	0.308823529411765	6.8	1.75467914438503
PC85	PC	M	C2	12072017-1	1.99	0.331666666666667	6	1.8844696969697
PC85	PC	M	D2	12072017-1	2.205	0.334090909090909	6.6	1.89824380165289
PC85	PC	M	E2	12072017-1	1.522	0.262413793103448	5.8	1.49098746081505
PC85	PC	M	F2	12072017-1	1.269	0.2115	6	1.20170454545455
FFD22	FFD	M	A2	12072017-2	1.52	0.156701030927835	9.7	0.67543547813722
FFD22	FFD	M	B2	12072017-2	1.28	0.135163674762408	9.47	0.58260204638969
FFD22	FFD	M	C2	12072017-2	1.369	0.141279669762642	9.69	0.608964093804491
FFD22	FFD	M	D2	12072017-2	1.287	0.122571428571429	10.5	0.528325123152711
FFD22	FFD	M	E2	12072017-2	1.479	0.153264248704663	9.65	0.66062176165803
FFD22	FFD	M	F2	12072017-2	1.941	0.210978260869565	9.2	0.909389055472263
FFD23	FFD	M	A1	12072017-2	1.799	0.230641025641026	7.8	0.994142351900974
FFD23	FFD	M	B1	12072017-2	2.592	0.275744680851064	9.4	1.18855465884079
FFD23	FFD	M	C1	12072017-2	1.978	0.263733333333333	7.5	1.1367816091954
FFD23	FFD	M	D1	12072017-2	2.065	0.258448060075094	7.99	1.11400025894437
FFD23	FFD	M	E1	12072017-2	1.863	0.248069241011984	7.51	1.06926396987924
FFD23	FFD	M	F1	12072017-2	2.189	0.34203125	6.4	1.47427262931034
PC12	PC	M	A2	12072017-2	1.958	0.283768115942029	6.9	1.22313843078461
PC12	PC	M	B2	12072017-2	1.791	0.24875	7.2	1.07219827586207
PC12	PC	M	C2	12072017-2	2.262	0.323142857142857	7	1.39285714285714
PC12	PC	M	D2	12072017-2	2.075	0.51875	4	2.23599137931034
PC12	PC	M	E2	12072017-2	2.323	0.339619883040936	6.84	1.46387880621093
PC12	PC	M	F2	12072017-2	2.092	0.510243902439024	4.1	2.19932716568545
PC141	PC	M	A2	12072017-2	1.807	0.252022315202232	7.17	1.08630308276824
PC141	PC	M	B2	12072017-2	1.689	0.216538461538462	7.8	0.933355437665784
PC141	PC	M	C2	12072017-2	1.322	0.138140020898642	9.57	0.595431124563112
PC141	PC	M	D2	12072017-2	1.281	0.110431034482759	11.6	0.475995838287754
PC141	PC	M	E2	12072017-2	1.466	0.180764488286067	8.11	0.779157277095116
PC141	PC	M	F2	12072017-2	1.412	0.168095238095238	8.4	0.724548440065681
FFD19	FFD	F	F2	12072017-3	2.251	0.255795454545455	8.8	1.10256661442006
FFD19	FFD	M	A4	12082017-1	1.813	0.299174917491749	6.06	1.15511551155115
FFD19	FFD	M	B4	12082017-1	2.123	0.314518518518519	6.75	1.21435721435722
FFD19	FFD	M	C4	12082017-1	2.18	0.315028901734104	6.92	1.21632780592318
FFD19	FFD	M	D4	12082017-1	1.563	0.209517426273458	7.46	0.808947591789413
FFD19	FFD	M	E4	12082017-1	1.536	0.196168582375479	7.83	0.757407653959378
FFD19	FFD	M	F4	12082017-1	1.49	0.22782874617737	6.54	0.879647668638494
FFD29	FFD	M	A2	12082017-1	1.736	0.170196078431373	10.2	0.657127715951247
FFD29	FFD	M	B2	12082017-1	2.29	0.217185128983308	10.544	0.838552621557174
FFD29	FFD	M	C2	12082017-1	1.745	0.225161290322581	7.75	0.869348611284096
FFD29	FFD	M	D2	12082017-1	1.868	0.192181069958848	9.72	0.742011853122965
FFD29	FFD	M	E2	12082017-1	1.517	0.171606334841629	8.84	0.662572721396251
FFD29	FFD	M	F2	12082017-1	1.413	0.154764512595838	9.13	0.597546380678911
PC12	PC	M	A4	12082017-1	1.719	0.212747524752475	8.08	0.82141901448832
PC12	PC	M	B4	12082017-1	2.042	0.277445652173913	7.36	1.07121873426221
PC12	PC	M	C4	12082017-1	1.346	0.159101654846336	8.46	0.614292103653807
PC12	PC	M	D4	12082017-1	2.186	0.266585365853659	8.2	1.0292871268481
PC12	PC	M	E4	12082017-1	1.12	0.16446402349486	6.81	0.634996229709884
PC12	PC	M	F4	12082017-1	2.116	0.305780346820809	6.92	1.18061909969424
PC85	PC	M	A4	12082017-1	2.562	0.371304347826087	6.9	1.43360752056404
PC85	PC	M	B4	12082017-1	2.085	0.247889668291523	8.411	0.957102966376537
PC85	PC	M	C4	12082017-1	1.96	0.266304347826087	7.36	1.02820211515864
PC85	PC	M	D4	12082017-1	2.135	0.234873487348735	9.09	0.906847441500907
PC85	PC	M	E4	12082017-1	1.684	0.290344827586207	5.8	1.12102250033285
PC85	PC	M	F4	12082017-1	1.965	0.293283582089552	6.7	1.1323690428168
FFD2	FFD	F	A3	12192017-1	3.166	0.250078988941548	12.66	1.29574605669196
FFD2	FFD	F	B3	12192017-1	2.75	0.260663507109005	10.55	1.35058811973578
FFD2	FFD	F	C3	12192017-1	2.728	0.215311760063141	12.67	1.11560497442042
FFD2	FFD	F	D3	12192017-1	3.556	0.254	14	1.3160621761658
FFD2	FFD	F	E3	12192017-1	2.313	0.15951724137931	14.5	0.826514204037876
FFD2	FFD	F	F3	12192017-1	2.041	0.145473984319316	14.03	0.75375121408972
FFD29	FFD	F	A3	12192017-1	2.165	0.1732	12.5	0.89740932642487
FFD29	FFD	F	B3	12192017-1	2.463	0.19019305019305	12.95	0.985456218616839
FFD29	FFD	F	C3	12192017-1	1.653	0.143739130434783	11.5	0.744762333858979
FFD29	FFD	F	D3	12192017-1	4.063	0.294420289855072	13.8	1.52549372981903
FFD29	FFD	F	E3	12192017-1	2.526	0.293720930232558	8.6	1.52187010483191
FFD29	FFD	F	F3	12192017-1	2.087	0.179913793103448	11.6	0.93219581918885
PC141	PC	F	A3	12192017-1	2.214	0.166466165413534	13.3	0.862518991779969
PC141	PC	F	B3	12192017-1	2.082	0.16550079491256	12.58	0.857517072085803
PC141	PC	F	C3	12192017-1	2.644	0.202760736196319	13.04	1.05057376267523
PC141	PC	F	D3	12192017-1	2.052	0.136708860759494	15.01	0.708336066111368
PC141	PC	F	E3	12192017-1	2.215	0.160507246376812	13.8	0.831643763610425
PC141	PC	F	F3	12192017-1	2.689	0.150223463687151	17.9	0.778359915477466
PC155	PC	F	A3	12192017-1	2.767	0.227549342105263	12.16	1.17901213526043
PC155	PC	F	B3	12192017-1	2.884	0.2575	11.2	1.33419689119171
PC155	PC	F	C3	12192017-1	2.423	0.207804459691252	11.66	1.07670704503239
PC155	PC	F	D3	12192017-1	2.425	0.226635514018692	10.7	1.17427727470825
PC155	PC	F	E3	12192017-1	3.77	0.296850393700787	12.7	1.53808494145485
PC155	PC	F	F3	12192017-1	2.7	0.231362467866324	11.67	1.19876926355608
FFD29	FFD	F	A2	12192017-2	1.003	0.0668666666666667	15	0.526509186351706
FFD29	FFD	F	B2	12192017-2	1.379	0.118879310344828	11.6	0.936057561770299
FFD29	FFD	F	C2	12192017-2	0.869	0.0629710144927536	13.8	0.495834759785461
FFD29	FFD	F	D2	12192017-2	1.85	0.385416666666667	4.8	3.03477690288714
FFD29	FFD	F	E2	12192017-2	1.27	0.0984496124031008	12.9	0.775193798449613
FFD29	FFD	F	F2	12192017-2	1.671	0.123777777777778	13.5	0.974628171478567
PC12	PC	F	A3	12192017-2	1.59	0.119548872180451	13.3	0.941329702208276
PC12	PC	F	B3	12192017-2	2.155	0.196803652968037	10.95	1.54963506274045
PC12	PC	F	C3	12192017-2	1.237	0.112148685403445	11.03	0.883060514987756
PC12	PC	F	D3	12192017-2	1.621	0.156316297010608	10.37	1.2308369843355
PC12	PC	F	E3	12192017-2	1.138	0.119789473684211	9.5	0.943224202237882
PC12	PC	F	F3	12192017-2	0.794	0.0742056074766355	10.7	0.584296121863272
PC141	PC	F	A2	12192017-2	2.011	0.166611433305717	12.07	1.31190104965131
PC141	PC	F	B2	12192017-2	1.478	0.124725738396624	11.85	0.982092428319874
PC141	PC	F	C2	12192017-2	1.688	0.137235772357724	12.3	1.08059663273798
PC141	PC	F	D2	12192017-2	0.724	0.0652252252252252	11.1	0.513584450592324
PC141	PC	F	E2	12192017-2	1.322	0.100151515151515	13.2	0.788594607492244
PC141	PC	F	F2	12192017-2	1.606	0.129516129032258	12.4	1.01981203962408
