Genotype	Pop	Sex	Sample	TGA.Plate	TGA	TGA.Prot	Protein	TGA.CanS
FFD22	FFD	M	C1	06152017-1	1.288	0.134166666666667	9.6	1.41228070175439
FFD22	FFD	M	D1	06152017-1	0.83	0.102469135802469	8.1	1.07862248213125
FFD22	FFD	M	E1	06152017-1	0.723	0.14093567251462	5.13	1.48353339489074
FFD22	FFD	M	F1	06152017-1	0.553	0.0850769230769231	6.5	0.895546558704454
PC12	PC	M	A1	06152017-1	0.827	0.153148148148148	5.4	1.61208576998051
PC12	PC	M	B1	06152017-1	1.134	0.159718309859155	7.1	1.68124536693847
PC12	PC	M	C1	06152017-1	0.8	0.125	6.4	1.31578947368421
PC12	PC	M	D1	06152017-1	1.481	0.211571428571429	7	2.22706766917294
PC12	PC	M	E1	06152017-1	1.128	0.163005780346821	6.92	1.71585031944022
PC12	PC	M	F1	06152017-1	1.266	0.191818181818182	6.6	2.01913875598086
PC167	PC	M	A1	06152017-1	0.761	0.113922155688623	6.68	1.19918058619603
PC167	PC	M	B1	06152017-1	0.639	0.0713169642857143	8.96	0.750704887218045
PC167	PC	M	C1	06152017-1	0.471	0.0581481481481481	8.1	0.612085769980506
PC167	PC	M	D1	06152017-1	0.713	0.0867396593673966	8.22	0.913049045972596
PC167	PC	M	E1	06152017-1	0.671	0.096685878962536	6.94	1.01774609434248
PC167	PC	M	F1	06152017-1	0.563	0.0752673796791444	7.48	0.792288207148888
FFD19	FFD	F	A1	06152017-2	1.351	0.171012658227848	7.9	1.24826757830546
FFD19	FFD	F	B1	06152017-2	1.414	0.148842105263158	9.5	1.0864387245486
FFD19	FFD	F	C1	06152017-2	1.497	0.152755102040816	9.8	1.11500074482347
FFD19	FFD	F	D1	06152017-2	1.097	0.10447619047619	10.5	0.762599930483139
FFD19	FFD	F	E1	06152017-2	1.359	0.133235294117647	10.2	0.972520395019321
FFD19	FFD	F	F1	06152017-2	1.309	0.122336448598131	10.7	0.892966778088547
FFD29	FFD	F	A1	06152017-2	1.974	0.202669404517454	9.74	1.4793387191055
FFD29	FFD	F	B1	06152017-2	1.875	0.158898305084746	11.8	1.15984164295435
FFD29	FFD	F	C1	06152017-2	1.716	0.133023255813953	12.9	0.970972670174839
FFD29	FFD	F	D1	06152017-2	1.877	0.234625	8	1.71259124087591
FFD29	FFD	F	E1	06152017-2	1.594	0.140812720848057	11.32	1.0278300791829
FFD29	FFD	F	F1	06152017-2	2.598	0.320345252774353	8.11	2.33828651660112
PC12	PC	F	A2	06152017-2	1.685	0.180213903743316	9.35	1.31542995433077
PC12	PC	F	B2	06152017-2	1.231	0.134978070175439	9.12	0.98524138814189
PC12	PC	F	C2	06152017-2	1.477	0.143398058252427	10.3	1.0467011551272
PC12	PC	F	D2	06152017-2	1.455	0.17962962962963	8.1	1.31116517977832
PC12	PC	F	E2	06152017-2	1.402	0.143061224489796	9.8	1.04424251452406
PC12	PC	F	F2	06152017-2	1.475	0.139810426540284	10.55	1.02051406233784
PC141	PC	F	A1	06152017-2	1.52	0.152917505030181	9.94	1.11618616810351
PC141	PC	F	B1	06152017-2	1.68	0.199524940617577	8.42	1.45638642786553
PC141	PC	F	C1	06152017-2	1.843	0.185226130653266	9.95	1.35201555221362
PC141	PC	F	D1	06152017-2	1.479	0.1479	10	1.07956204379562
PC141	PC	F	E1	06152017-2	1.349	0.12607476635514	10.7	0.92025376901562
PC141	PC	F	F1	06152017-2	1.396	0.1745	8	1.27372262773723
PC12	PC	M	A3	06152017-2	1.685	0.212484237074401	7.93	1.55097983265986
PC12	PC	M	B3	06152017-2	1.231	0.170027624309392	7.24	1.24107754970359
PC12	PC	M	C3	06152017-2	1.477	0.189116517285531	7.81	1.38041253493088
PC12	PC	M	D3	06152017-2	1.455	0.230952380952381	6.3	1.68578380257212
PC12	PC	M	E3	06152017-2	1.402	0.250357142857143	5.6	1.8274244004171
PC12	PC	M	F3	06152017-2	1.475	0.273148148148148	5.4	1.99378210327115
FFD16	FFD	M	A2	06282017-1	1.342	0.148780487804878	9.02	1.17149990397542
