Genotype	Pop	Sex	Sample	Glu-Plate	Glucose	Protein-Plate	Protein	Glu-Pro	Glu-CanS
FFD4	FFD	M	A3	11082017-2	0.589	08112017-6	7.71	0.0763942931258106	2.18269408930887
FFD4	FFD	M	B3	11082017-2	0.58	08112017-6	8.48	0.0683962264150943	1.95417789757412
FFD4	FFD	M	C3	11082017-2	0.544	08112017-6	9.1	0.0597802197802198	1.70800627943485
FFD4	FFD	M	D3	11082017-2	0.654	08112017-6	8.28	0.0789855072463768	2.25672877846791
FFD4	FFD	M	E3	11082017-2	0.482	08112017-6	5.58	0.0863799283154122	2.46799795186892
FFD4	FFD	M	F3	11082017-2	0.532	08112017-6	4	0.133	3.8
FFD4	FFD	M	A2	12242017-2	0.5237	08112017-1	9.28	0.0564331896551724	1.56758860153257
FFD4	FFD	M	B2	12242017-2	0.5327	08112017-1	10.3	0.0517184466019417	1.4366235167206
FFD4	FFD	M	C2	12242017-2	0.4526	08112017-1	92	0.0049195652173913	0.136654589371981
FFD4	FFD	M	D2	12242017-2	0.5063	08112017-1	10.63	0.0476293508936971	1.32303752482492
FFD4	FFD	M	E2	12242017-2	0.4581	08112017-1	10.2	0.0449117647058824	1.24754901960784
FFD4	FFD	M	F2	12242017-2	0.4352	08112017-1	4.12	0.105631067961165	2.93419633225458
FFD6	FFD	M	A5	9202018	0.362097133521461	04162019-2	8.0460606060606	0.045003033316542	1.55182873505317
FFD6	FFD	M	B5	9202018	0.442893212535274	04162019-2	7.92242424242424	0.0559037485222768	1.92771546628541
FFD6	FFD	M	C5	9202018	0.386751819397	04162019-2	8.07878787878788	0.0478725057768229	1.65077606126976
FFD6	FFD	M	D5	9202018	0.390910441110946	04162019-2	8.48363636363636	0.0460781702981184	1.58890242407305
FFD6	FFD	M	E5	9202018	0.3745729986633	04162019-2	7.06424242424243	0.0530238030022687	1.82840700007823
FFD6	FFD	M	F5	9202018	0.448240011881776	04162019-2	9.17454545454545	0.0488569176644821	1.68472129877524
FFD6	FFD	M	A4	11082017-1	0.351	11292017-1	9	0.039	1.25806451612903
FFD6	FFD	M	B4	11082017-1	0.518	11292017-1	10.05	0.0515422885572139	1.66265446958755
FFD6	FFD	M	C4	11082017-1	0.312	11292017-1	6.43	0.0485225505443235	1.56524356594592
FFD6	FFD	M	D4	11082017-1	0.369	11292017-1	9.47	0.0389651531151003	1.25694042306775
FFD6	FFD	M	E4	11082017-1	0.399	11292017-1	8.06	0.0495037220843672	1.59689426078604
FFD6	FFD	M	F4	11082017-1	0.274	11292017-1	8.33	0.0328931572629052	1.06106958912597
FFD6	FFD	M	A3	11082017-2	0.398	06272017-4	7.68	0.0518229166666667	1.48065476190476
FFD6	FFD	M	B3	11082017-2	0.398	06272017-4	8.42	0.0472684085510689	1.35052595860197
FFD6	FFD	M	C3	11082017-2	0.305	06272017-4	8	0.038125	1.08928571428571
