Genotype	Pop	Sex	Sample	Glu-Plate	Glucose	Protein-Plate	Protein	Glu-Pro	Glu-CanS
PC189	PC	M	C3	11082017-2	0.437	08142017-1	6.9	0.0633333333333333	1.80952380952381
PC189	PC	M	D3	11082017-2	0.433	08142017-1	9.5	0.0455789473684211	1.30225563909775
PC189	PC	M	E3	11082017-2	0.262	08142017-1	6.9	0.0379710144927536	1.08488612836439
PC189	PC	M	F3	11082017-2	0.485	08142017-1	9.5	0.0510526315789474	1.45864661654135
PC200	PC	M	A2	9202018	0.485667607307292	08142017-10	7.08	0.0685971196761712	2.36541791986797
PC200	PC	M	B2	9202018	0.506460715877024	08142017-10	8.3	0.0610193633586776	2.10411597788543
PC200	PC	M	C2	9202018	0.467844942818951	08142017-10	8.53	0.0548470038474737	1.89127599474047
PC200	PC	M	D2	9202018	0.43517005792366	08142017-10	7.38	0.058966132509981	2.03331491413728
PC200	PC	M	E2	9202018	0.389425219070251	08142017-10	8.08	0.0481961904789915	1.66193760272384
PC200	PC	M	F2	9202018	0.365067577602852	08142017-10	5.9	0.0618758606106529	2.13365036588458
PC200	PC	M	A1	02222019-2	0.779121755103455	06082017-2	4.6	0.169374294587708	5.24378621014576
PC200	PC	M	B1	02222019-2	0.575884656708141	06082017-2	7.9	0.0728967919883723	2.25686662502701
PC200	PC	M	C1	02222019-2	0.663778463244723	06082017-2	6.6	0.100572494431019	3.1136995179882
PC200	PC	M	D1	02222019-2	0.430041936713687	06082017-2	6.4	0.0671940526115136	2.08031122636265
PC200	PC	M	E1	02222019-2	0.399542508577964	06082017-2	7.04	0.0567531972411881	1.75706493006774
PC200	PC	M	F1	02222019-2	0.344089002876651	06082017-2	6.7	0.05135656759353	1.58998661280279
PC200	PC	M	A3	11082017-1	0.397	12042017-5	6.63	0.0598793363499246	1.93159149515886
PC200	PC	M	B3	11082017-1	0.388	12042017-5	8.32	0.0466346153846154	1.50434243176179
PC200	PC	M	C3	11082017-1	0.371	12042017-5	8.62	0.0430394431554524	1.38836913404685
PC200	PC	M	D3	11082017-1	0.24	12042017-5	3.77	0.0636604774535809	2.05356378882519
PC200	PC	M	E3	11082017-1	0.303	12042017-5	6.12	0.0495098039215686	1.59709044908286
PC200	PC	M	F3	11082017-1	0.342	12042017-5	7.44	0.0459677419354839	1.48283038501561
PC85	PC	M	A2	07112017-1	0.2328	06082017-2	7.2	0.0323333333333333	1.29333333333333
PC85	PC	M	B2	07112017-1	0.1954	06082017-2	6.8	0.0287352941176471	1.14941176470588
PC85	PC	M	C2	07112017-1	0.1831	06082017-2	6	0.0305166666666667	1.22066666666667
PC85	PC	M	D2	07112017-1	0.2874	06082017-2	6.6	0.0435454545454545	1.74181818181818
PC85	PC	M	E2	07112017-1	0.1887	06082017-2	5.8	0.0325344827586207	1.30137931034483
PC85	PC	M	F2	07112017-1	0.2606	06082017-2	6	0.0434333333333333	1.73733333333333
PC85	PC	M	A3	08162017-2	0.354	08142017-4	8.74	0.0405034324942792	1.22737674225088
PC85	PC	M	B3	08162017-2	0.411	08142017-4	7.6	0.0540789473684211	1.63875598086125
PC85	PC	M	C3	08162017-2	0.364	08142017-4	7.8	0.0466666666666667	1.41414141414142
PC85	PC	M	D3	08162017-2	0.372	08142017-4	8.5	0.0437647058823529	1.32620320855615
PC85	PC	M	E3	08162017-2	0.424	08142017-4	9.23	0.0459371614301192	1.3920351948521
PC85	PC	M	F3	08162017-2	0.341	08142017-4	7.5	0.0454666666666667	1.37777777777778
PC85	PC	M	A4	11082017-1	0.409	08112017-8	6.9	0.0592753623188406	1.91210846189808
PC85	PC	M	B4	11082017-1	0.371	08112017-8	8.411	0.0441089050053501	1.42286790339839
PC85	PC	M	C4	11082017-1	0.393	08112017-8	7.36	0.0533967391304348	1.72247545582048
PC85	PC	M	D4	11082017-1	0.475	08112017-8	9.09	0.0522552255225523	1.68565243621136
PC85	PC	M	E4	11082017-1	0.41	08112017-8	5.8	0.0706896551724138	2.28031145717464
PC85	PC	M	F4	11082017-1	0.397	08112017-8	6.7	0.0592537313432836	1.91141068849302
