Genotype	Pop	Sex	Sample	TGA.Plate	TGA.Raw	Prot.Plate	Protein	TGA.Protein
FFD14	FFD	F	F1	1282016	2.43241943241943	2012016	12.0407747196738	0.202015193295248
FFD14	FFD	F	A4	6012016	1.98071866783523	6032016-2	10.6547694922456	0.185899720240478
FFD14	FFD	F	B4	6012016	2.4250657318142	6032016-2	12.1232207350754	0.200034774983342
FFD14	FFD	F	C4	6012016	2.7581069237511	6032016-2	10.6352241342681	0.259336981424219
FFD14	FFD	F	D4	6012016	2.60999123575811	6032016-2	11.7748034841725	0.221659005966971
FFD14	FFD	F	E4	6012016	2.52497808939527	6032016-2	13.4191629487997	0.188162115552902
FFD14	FFD	F	F4	6012016	2.69851007887818	6032016-2	10.0930528999363	0.267363116554677
FFD14	FFD	F	A5	06102016-2	2.95978309986444	06102016-2	11.3138922640745	0.261606088407149
FFD14	FFD	F	B5	06102016-2	2.79981924988703	06102016-2	9.29526123936817	0.301209312765624
FFD14	FFD	F	C5	06102016-2	2.58653411658382	06102016-2	8.05832320777643	0.320976715613463
FFD14	FFD	F	D5	06102016-2	2.85404428377768	06102016-2	9.59254759011746	0.297527247789524
FFD14	FFD	F	E5	06102016-2	2.89652056032535	06102016-2	8.03402187120291	0.360531824130031
FFD14	FFD	F	F5	06102016-2	3.48847718029824	06102016-2	8.74605103280681	0.39886311744727
FFD14	FFD	F	A3	5312016-2	3.48387096774194	6012016	9.62554890219561	0.361939979022626
FFD14	FFD	F	B3	5312016-2	2.33509870004815	6012016	11.0506986027944	0.211307790030367
FFD14	FFD	F	C3	5312016-2	3.08136735676456	6012016	13.4578842315369	0.228963728900547
FFD14	FFD	F	D3	5312016-2	2.56427539720751	6012016	10.6666666666667	0.240400818488204
FFD14	FFD	F	E3	5312016-2	2.74337987481945	6012016	10.2307385229541	0.268150717434943
FFD14	FFD	F	F3	5312016-2	2.24747231584015	6012016	11.5656686626747	0.194322730608159
FFD16	FFD	F	A3	5262016	2.43539202803329	5232016	11.5507332540626	0.210843067229235
FFD16	FFD	F	B3	5262016	2.40560665790626	5232016	11.0176377328577	0.218341419116737
FFD16	FFD	F	C3	5262016	2.96189224704336	5232016	9.86623067776457	0.300205047274898
FFD16	FFD	F	D3	5262016	2.10950503723171	5232016	14.8949663099485	0.14162536479339
FFD16	FFD	F	E3	5262016	2.21462987297416	5232016	13.6880697582243	0.161792707963336
FFD16	FFD	F	F3	5262016	2.97853701270258	5232016	9.51248513674198	0.313118703460359
FFD16	FFD	F	A5	06032019-3	2.07449856733524	04292019-6	10.3600023040147	0.200241129920533
FFD16	FFD	F	B5	06032019-3	2.51232091690544	04292019-6	10.8196532457808	0.232199762768289
FFD16	FFD	F	C5	06032019-3	2.38166189111748	04292019-6	9.65266977708657	0.246736078838111
FFD16	FFD	F	D5	06032019-3	1.91786055396371	04292019-6	15.2617936754795	0.125664164694157
FFD16	FFD	F	E5	06032019-3	1.70238777459408	04292019-6	14.1420425090721	0.120377786553958
FFD16	FFD	F	F5	NA	NA	NA	NA	NA
FFD16	FFD	F	A6	06032019-1	2.75150952159777	05302018-2	12.1199699391952	0.227022800832168
FFD16	FFD	F	B6	06032019-1	2.76915931258709	05302018-2	12.073512331762	0.229358221244552
FFD16	FFD	F	C6	06032019-1	2.51277287505806	05302018-2	10.7699665231946	0.233312969882167
FFD16	FFD	F	D6	06032019-1	2.73107292150488	05302018-2	12.6091412174626	0.216594681144706
FFD16	FFD	F	E6	06032019-1	2.75243845796563	05302018-2	13.7254901960784	0.200534801937496
FFD16	FFD	F	F6	06032019-1	2.14584300975383	05302018-2	11.5310514449682	0.186092571002292
FFD19	FFD	F	A1	2022016	2.13184682501212	2032016	11.9726317818252	0.178060000830254
FFD19	FFD	F	B1	2022016	3.3158830182582	2032016	13.2022742603835	0.251159985988798
FFD19	FFD	F	C1	2022016	3.06156083373728	2032016	12.4785583501976	0.245345716052913
FFD19	FFD	F	D1	2022016	2.98432703183067	2032016	11.335646140503	0.263269247720027
FFD19	FFD	F	E1	2022016	2.48085312651478	2032016	12.1451286498988	0.204267340266952
FFD19	FFD	F	F1	2022016	3.24608175795767	2032016	12.6134721017635	0.257350373613925
FFD19	FFD	F	A4	6022016	2.16673903603995	6032016	12.0739324410453	0.17945595162303
FFD19	FFD	F	B4	6022016	2.42726877985237	6032016	10.8323773103888	0.224075353941419
FFD19	FFD	F	C4	6022016	2.39339991315675	6032016	10.1236456341619	0.236416800789659
FFD19	FFD	F	D4	6022016	3.19409465914025	6032016	11.2113872955173	0.284897361490434
FFD19	FFD	F	E4	6022016	2.46808510638298	6032016	9.55428085829616	0.258322436087892
FFD19	FFD	F	F4	6022016	2.1615284411637	6032016	10.9827915869981	0.196810476101778
FFD19	FFD	F	A3	04272016-2	1.74679695982628	5042016	8.5733087654646	0.203748285243476
FFD19	FFD	F	B3	04272016-2	2.5485342019544	5042016	13.1446871983855	0.193883214068983
FFD19	FFD	F	C3	04272016-2	2.29055374592834	5042016	12.8919891199438	0.177672640320869
FFD19	FFD	F	D3	04272016-2	2.62844733984799	5042016	12.1312626129683	0.216667252511555
FFD19	FFD	F	E3	04272016-2	1.57828447339848	5042016	9.69816618408353	0.162740506136999
FFD19	FFD	F	F3	04272016-2	1.62866449511401	5042016	11.1046766692989	0.146664738075335
FFD19	FFD	F	A2	3092016-2	2.29898690387942	3092016	9.73100798108188	0.236253727090646
FFD19	FFD	F	B2	3092016-2	2.25747467259699	3092016	11.3902847571189	0.198192996991235
FFD19	FFD	F	C2	3092016-2	3.48109710896961	3092016	14.0999113213124	0.246887872529228
FFD19	FFD	F	D2	3092016-2	2.39980232270818	3092016	16.7336683417085	0.143411610275954
FFD19	FFD	F	E2	3092016-2	2.28416110699283	3092016	12.0869051138043	0.188978161529879
FFD19	FFD	F	F2	3092016-2	2.42055843834939	3092016	14.7285446842053	0.164344712274605
FFD2	FFD	F	A2	3042016	2.19297067383031	3042016	11.626594082363	0.188616774465098
FFD2	FFD	F	B2	3042016	2.35773449742556	3042016	6.43379202580776	0.366461099141537
FFD2	FFD	F	C2	3042016	1.33243787777032	3042016	7.31186047683855	0.18222966398101
FFD2	FFD	F	D2	3042016	2.3595254085516	3042016	10.6215030999546	0.222146092351249
FFD2	FFD	F	E2	3042016	2.03268412805015	3042016	10.4138313423056	0.19519080550042
FFD2	FFD	F	F2	3042016	1.67450190284307	3042016	3.08080044357074	0.543528194543581
FFD2	FFD	F	A3	4272016	1.98376999768143	4282016	9.07412269187013	0.218618379433944
FFD2	FFD	F	B3	4272016	2.80918154416879	4282016	8.87722061783495	0.316448319254897
FFD2	FFD	F	C3	4272016	1.98191514027359	4282016	11.5244596131968	0.171974670118508
FFD2	FFD	F	D3	4272016	1.6192905170415	4282016	9.68408156121467	0.167211573633049
FFD2	FFD	F	E3	4272016	2.13679573382796	4282016	8.25413494355474	0.258875793579857
FFD2	FFD	F	F3	4272016	2.03941571991653	4282016	8.92447711560339	0.228519351161857
FFD2	FFD	F	A5	06032019-1	2.53135160241523	04292019-5	11.6478948779834	0.217322668939943
FFD2	FFD	F	B5	06032019-1	2.34556432884347	04292019-5	7.46446768570662	0.314230622678546
FFD2	FFD	F	C5	06032019-1	3.58569437993497	04292019-5	11.9308125502816	0.300540668527254
FFD2	FFD	F	D5	06032019-1	2.81281932187645	04292019-5	11.8181818181818	0.238007788774161
FFD2	FFD	F	E5	06032019-1	2.49790989317232	04292019-5	13.0316438723518	0.191680337311237
FFD2	FFD	F	F5	06032019-1	3.81978634463539	04292019-5	12.7487262000536	0.299621019754846
FFD22	FFD	F	A2	3042016	2.89053055742109	3042016	11.6830485407531	0.247412355374394
FFD22	FFD	F	B2	3042016	2.66398029997761	3042016	11.0610413831342	0.240843534320342
FFD22	FFD	F	C2	3042016	2.62458025520484	3042016	10.0055446343062	0.262312582785938
FFD22	FFD	F	D2	3042016	2.52787105439893	3042016	10.5307727203992	0.240046112618324
FFD22	FFD	F	E2	3042016	2.22162525184688	3042016	13.4210393669036	0.165533025506611
FFD22	FFD	F	F2	3042016	2.48220282068502	3042016	13.2718382983013	0.187027807670225
FFD22	FFD	F	A4	6032016	2.36762513312034	5312016	10.4627195727459	0.226291559919825
FFD22	FFD	F	B4	6032016	2.15548455804047	5312016	14.4181583009972	0.149497911802743
FFD22	FFD	F	C4	6032016	3.11565495207668	5312016	12.0882880627529	0.25774162031072
FFD22	FFD	F	D4	6032016	2.380404685836	5312016	12.4855008970668	0.190653519266914
FFD22	FFD	F	E4	6032016	2.49712460063898	5312016	12.4220803604957	0.201023059597993
FFD22	FFD	F	F4	6032016	2.31821086261981	5312016	11.3723035840948	0.203847078604377
FFD22	FFD	F	A3	04272016-2	2.41129207383279	5042016	10.6747389663947	0.225887685068817
FFD22	FFD	F	B3	04272016-2	2.12899022801303	5042016	11.1739931560937	0.190530833362108
FFD22	FFD	F	C3	04272016-2	2.66579804560261	5042016	9.74291480214091	0.273614015901773
FFD22	FFD	F	D3	04272016-2	2.84386536373507	5042016	10.5703255242608	0.269042363663058
FFD22	FFD	F	E3	04272016-2	2.23322475570033	5042016	10.7326489427042	0.208077685911679
FFD22	FFD	F	F3	04272016-2	3.04799131378936	5042016	10.5475125032903	0.28897726481372
FFD23	FFD	F	A3	3032016	3.19308357348703	3032016	13.4647887323944	0.237143236106254
FFD23	FFD	F	B3	3032016	2.0297790585975	3032016	14.3526343244653	0.141422056237967
FFD23	FFD	F	C3	3032016	1.97886647454371	3032016	14.5070422535211	0.13640730067243
FFD23	FFD	F	D3	3032016	1.79538904899135	3032016	12.357850808555	0.145283275935687
FFD23	FFD	F	E3	3032016	2.07204610951009	3032016	16.7271778821075	0.123873024135559
FFD23	FFD	F	F3	3032016	3.2507204610951	3032016	15.0161711006781	0.216481314664049
FFD23	FFD	F	A4	6022016	3.08640903169779	6022016	9.12683237731039	0.338168699073591
FFD23	FFD	F	B4	6022016	3.46591402518454	6022016	8.46568939876779	0.409407180198345
FFD23	FFD	F	C4	6022016	3.07946157186279	6022016	8.64924580412152	0.356038161199601
FFD23	FFD	F	D4	6022016	3.47372991749891	6022016	9.61631612492033	0.361232916261651
FFD23	FFD	F	E4	6022016	3.02561875814156	6022016	8.24814106649671	0.366824322444166
FFD23	FFD	F	F4	6022016	3.30178028658272	6022016	7.35500318674315	0.448916227872468
FFD23	FFD	F	A5	6092016	3.06652935118435	6102016	9.15472431382074	0.334966870226213
FFD23	FFD	F	B5	6092016	2.72049433573635	6102016	8.99765201198283	0.302356029341129
