Genotype	Pop	Sex	Sample	Kit	Glu-Plate	Glu	Prot-Plate	Protein	GluNorm	Glu.CanS
FFD19	FFD	M	B3	HK	3172016	0.342284866468843	3172016	7.2540089192523	0.0471856142277977	NA
FFD19	FFD	M	C3	HK	3172016	0.312462908011869	3172016	7.24452035297467	0.043130931074487	NA
FFD19	FFD	M	D3	HK	3172016	0.227002967359051	3172016	6.79191574153145	0.0334225240709282	NA
FFD19	FFD	M	E3	HK	3172016	0.307344213649852	3172016	6.41616851693709	0.0479015183031025	NA
FFD19	FFD	M	F3	HK	3172016	0.288427299703264	3172016	5.84021254388461	0.049386438855771	NA
FFD22	FFD	M	A2	HK	3172016	0.228560830860534	3182016	4.38529784537389	0.0521197964014339	NA
FFD22	FFD	M	B2	HK	3172016	0.230786350148368	3182016	5.45454545454545	0.0423108308605342	NA
FFD22	FFD	M	C2	HK	3172016	0.200296735905045	3182016	4.77704804701002	0.041928976626143	NA
FFD22	FFD	M	D2	HK	3172016	0.260385756676558	3182016	5.52444598071974	0.047133370040236	NA
FFD22	FFD	M	E2	HK	3172016	0.19740356083086	3182016	5.32626646695088	0.0370622765600887	NA
FFD22	FFD	M	F2	HK	3172016	0.265949554896142	3182016	5.41997926028344	0.0490683713210803	NA
PC12	PC	M	A3	HK	3172016	0.206083086053412	3172016	4.99193471866401	0.0412832093502549	NA
PC12	PC	M	B3	HK	3172016	0.269955489614243	3172016	5.66467406774836	0.0476559615585345	NA
PC12	PC	M	C3	HK	3172016	0.398813056379822	3172016	5.89334851503938	0.0676717243791168	NA
PC12	PC	M	D3	HK	3172016	0.190281899109792	3172016	5.94268905968308	0.0320194944071228	NA
PC12	PC	M	E3	HK	3172016	0.219881305637982	3172016	3.49653667330866	0.0628854567196389	NA
PC12	PC	M	F3	HK	3172016	0.220994065281899	3172016	6.06983584780339	0.0364085736127237	NA
PC167	PC	M	A3	HK	3172016	0.198961424332344	3162016	5.58402125438846	0.0356304919462799	NA
PC167	PC	M	B3	HK	3172016	0.177373887240356	3162016	NA	NA	NA
PC167	PC	M	C3	HK	3172016	0.187611275964392	3162016	5.97305247177152	0.0314096145732919	NA
PC167	PC	M	D3	HK	3172016	0.329154302670623	3162016	6.61922383527849	0.0497270240230174	NA
PC167	PC	M	E3	HK	3172016	0.231676557863501	3162016	5.8459056836512	0.0396305671696711	NA
PC167	PC	M	F3	HK	3172016	0.190949554896142	3162016	6.26719802637821	0.0304680902202944	NA
FFD23	FFD	F	A3	HK	3182016	0.39361543062201	3182016	7.4440219687368	0.0528767153395174	NA
FFD23	FFD	F	B3	HK	3182016	0.423669258373206	3182016	9.85059722702309	0.0430094996891109	NA
FFD23	FFD	F	C3	HK	3182016	0.429052033492823	3182016	9.07093751200215	0.0472996350074208	NA
FFD23	FFD	F	D3	HK	3182016	0.461348684210526	3182016	10.5818642700772	0.0435980534654089	NA
FFD23	FFD	F	E3	HK	3182016	0.433089114832536	3182016	8.08388063140915	0.053574407463392	NA
FFD23	FFD	F	F3	HK	3182016	0.349207535885167	3182016	9.6132426930906	0.0363256756366045	NA
PC113	PC	F	A3	HK	3182016	0.201854066985646	03182016-2	4.47209739985405	0.0451363306604712	NA
PC113	PC	F	B3	HK	3182016	0.301659688995215	03182016-2	4.84771671083458	0.0622271694055492	NA
PC113	PC	F	C3	HK	3182016	0.266671650717703	03182016-2	6.85332411568153	0.0389112854165929	NA
PC113	PC	F	D3	HK	3182016	0.263980263157895	03182016-2	5.93693589891308	0.0444640581695052	NA
PC113	PC	F	E3	HK	3182016	0.441836124401914	03182016-2	9.59019856358259	0.0460716346457855	NA
PC113	PC	F	F3	HK	3182016	0.298295454545455	03182016-2	9.56561815877405	0.0311841273187184	NA
PC85	PC	F	A3	HK	3182016	0.420977870813397	3182016	8.00529701097238	0.0525874143378301	NA
PC85	PC	F	B3	HK	3182016	0.394736842105263	3182016	8.10972379871358	0.0486745112290851	NA
PC85	PC	F	C3	HK	3182016	0.430846291866029	3182016	7.52856602345819	0.057228201296709	NA
PC85	PC	F	D3	HK	3182016	0.442957535885168	3182016	8.9716231555051	0.0493731767604799	NA
PC85	PC	F	E3	HK	3182016	0.405502392344498	3182016	7.10253499810821	0.057092628540726	NA
PC85	PC	F	F3	HK	3182016	0.484674043062201	3182016	8.46386681800984	0.0572639023609029	NA
FFD23	FFD	M	A3	HK	3182016	0.314892344497608	3182016	5.56337495270526	0.0566009566449386	NA
FFD23	FFD	M	B3	HK	3182016	0.241552033492823	3182016	5.09648127128263	0.0473958444336698	NA
FFD23	FFD	M	C3	HK	3182016	0.243346291866029	3182016	5.34468407113129	0.0455305287697802	NA
FFD23	FFD	M	D3	HK	3182016	0.246710526315789	3182016	6.38365493757094	0.0386472214943475	NA
FFD23	FFD	M	E3	HK	3182016	0.238636363636364	3182016	6.32614453272796	0.0377222433666812	NA
FFD23	FFD	M	F3	HK	3182016	0.266447368421053	3182016	5.77071509648127	0.0461723311524287	NA
FFD29	FFD	M	A3	HK	3182016	0.331489234449761	03182016-2	7.53991676125615	0.0439645748018225	NA
FFD29	FFD	M	B3	HK	3182016	0.243122009569378	03182016-2	2.36473704124102	0.102811435406698	NA
FFD29	FFD	M	C3	HK	3182016	0.222712320574163	03182016-2	6.50548618993568	0.0342345389832216	NA
FFD29	FFD	M	D3	HK	3182016	0.270260167464115	03182016-2	8.63942489595157	0.0312821942107233	NA
FFD29	FFD	M	E3	HK	3182016	0.342927631578947	03182016-2	8.29814604615967	0.0413258129793524	NA
