Genotype	Temp	Pop	Sex	Food	MeanLength	MedianLength
PC167	21	PC	M	Q	1.3280967747931	1.324198983
PC189	25	PC	F	F	1.4661619165	1.4746182265
FFD4	25	FFD	M	F	1.33506295833333	1.332853688
PC12	21	PC	M	Q	1.38334861747826	1.392903835
FFD19	21	FFD	F	Q	1.61232267596552	1.643034261
PC167	25	PC	M	Q	0.959695160375	0.9636511775
PC114	21	PC	M	Q	1.26419101986957	1.266356373
PC141	21	PC	M	Q	1.2754253063	1.257397978
FFD29	25	FFD	F	F	1.48967157492857	1.4977309295
FFD2	25	FFD	F	F	1.541278042625	1.555822728
PC189	25	PC	M	F	1.23567189303333	1.237599303
PC114	21	PC	F	F	1.59796790971429	1.603228549
FFD4	25	FFD	M	Q	1.2433250602069	1.260217114
PC114	25	PC	F	F	1.3817771899	1.4019920635
PC113	25	PC	M	Q	1.19118034832	1.195943201
PC141	21	PC	F	F	1.51929392271429	1.5231448795
FFD6	21	FFD	M	F	1.47523154231035	1.468857953
PC113	25	PC	F	F	1.42390095476667	1.428781409
FFD10	25	FFD	M	F	1.28769960678571	1.2928822425
PC200	21	PC	F	Q	1.40094939971429	1.399526747
PC85	25	PC	M	Q	1.23363723955172	1.241438803
FFD19	21	FFD	F	F	1.72961025157692	1.7273139095
PC113	21	PC	F	Q	1.44412939437931	1.451601925
PC155	25	PC	F	Q	1.43272955683333	1.4476949515
FFD19	25	FFD	F	Q	1.50736795280645	1.498071394
FFD10	21	FFD	M	Q	1.40729906476667	1.406927094
PC155	25	PC	F	F	1.59006667142857	1.599266495
PC200	25	PC	M	F	1.33846943875862	1.335187478
FFD29	21	FFD	F	F	1.69561719386667	1.6913979205
FFD16	25	FFD	F	Q	1.44555765828571	1.457602721
FFD22	21	FFD	M	Q	1.30672991330769	1.3121513355
PC189	21	PC	F	F	1.53092720082759	1.52679952
PC200	25	PC	F	Q	1.4805957652963	1.488486014
PC114	21	PC	M	F	1.41599321968966	1.413342697
FFD22	25	FFD	M	Q	1.26422104989655	1.291806764
FFD29	21	FFD	M	F	1.5236598407	1.530386542
FFD6	21	FFD	F	Q	1.57084398868966	1.581481343
PC113	21	PC	M	F	1.3359000172963	1.331678528
FFD6	25	FFD	M	F	1.352714749	1.355866654
FFD4	25	FFD	F	Q	1.37205560591304	1.371378772
PC167	21	PC	F	Q	1.466338792875	1.4759530215
FFD19	21	FFD	M	Q	1.4309187786	1.434976111
FFD16	25	FFD	M	F	1.34834687109091	1.35052755
FFD2	21	FFD	F	Q	1.3865697092381	1.404761383
FFD22	21	FFD	F	Q	1.46774960707692	1.4822872445
FFD29	25	FFD	F	Q	1.2707453587	1.2462376505
PC155	25	PC	M	F	1.38806207056667	1.39188344
FFD16	21	FFD	M	Q	1.35311547456667	1.369822947
PC200	21	PC	M	Q	1.28127925396	1.28273318
PC136	21	PC	M	Q	1.2603564515	1.257301993
FFD23	25	FFD	F	F	1.54511794133333	1.5544621225
FFD19	25	FFD	M	F	1.37242160423333	1.3832323085
PC12	25	PC	M	F	1.26109754463333	1.262655704
FFD22	21	FFD	M	F	1.4712212402069	1.473593195
FFD4	25	FFD	F	F	1.48348168339394	1.482052011
PC200	21	PC	F	F	1.64019359865517	1.647324874
FFD16	21	FFD	F	Q	1.53257479553333	1.55635436
FFD14	21	FFD	F	F	1.66214264683333	1.6580842325
PC189	21	PC	M	F	1.324747304	1.328243188
PC200	21	PC	M	F	1.4607972927	1.4652267575
PC141	25	PC	F	Q	1.35942971383333	1.361535494
PC85	25	PC	F	Q	1.39391952752174	1.395940756
